episodeid	eventId	year	monthname	beginyearmonth	beginday	begintime	begindatetime	endyearmonth	endday	endtime	enddatetime	eventtype	eventcat	state	county	totalinjuries	totaldeaths	totaldamage	magnitude	magnitudetype	category	fscale
1188292	5448110	2005	April	200504	3	730	4/3/05 7:30	200504	3	2300	4/3/05 23:00	Heavy Snow	Blizzard / Snowstorm	NEW YORK	CHAUTAUQUA	0	0	11000				
1188292	5448114	2005	April	200504	3	1900	4/3/05 19:00	200504	3	2300	4/3/05 23:00	Heavy Snow	Blizzard / Snowstorm	NEW YORK	NIAGARA	2	0	0				
1199531	5478745	2005	April	200504	8	1730	4/8/05 17:30	200504	10	415	4/10/05 4:15	Winter Storm	Blizzard / Snowstorm	CALIFORNIA	W SIERRA T X W/C NEVADA/C PLACER/C EL DORADO/E AMADOR/NE CALAVERAS/C & NE TUOLUMNE/SW ALPINE	3	0	0				
1186842	5443911	2005	April	200504	8	1400	4/8/05 14:00	200504	8	1915	4/8/05 19:15	Wildfire	Fire	NORTH DAKOTA	BURLEIGH	3	0	0				
1188010	5448485	2005	April	200504	17	1200	4/17/05 12:00	200504	17	2000	4/17/05 20:00	Wildfire	Fire	WYOMING	WIND RIVER BASIN	1	0	0				
1186749	5442790	2005	April	200504	30	300	4/30/05 3:00	200504	30	700	4/30/05 7:00	Flash Flood	Flood	KENTUCKY	BREATHITT	0	0	30000				
1188371	5447768	2005	April	200504	1	700	4/1/05 7:00	200504	1	1400	4/1/05 14:00	Flash Flood	Flood	ALABAMA	MONTGOMERY	0	0	1000				
1188363	5448556	2005	April	200504	1	700	4/1/05 7:00	200504	1	1400	4/1/05 14:00	Flash Flood	Flood	ALABAMA	LEE	0	0	30000	0			
1188256	5447555	2005	April	200504	2	2000	4/2/05 20:00	200504	3	700	4/3/05 7:00	Flash Flood	Flood	NEW YORK	BROOME	0	2	0	0			
1187879	5448126	2005	April	200504	18	1900	4/18/05 19:00	200504	18	2300	4/18/05 23:00	Flash Flood	Flood	NEBRASKA	POLK	0	0	5000				
1187882	5448224	2005	April	200504	5	1906	4/5/05 19:06	200504	5	2200	4/5/05 22:00	Flash Flood	Flood	KANSAS	PHILLIPS	0	0	20000				
1187879	5448121	2005	April	200504	18	1817	4/18/05 18:17	200504	18	2100	4/18/05 21:00	Flash Flood	Flood	NEBRASKA	YORK	0	0	10000				
