eventid	latitude	longitude
5535520	34.55	-90.97
5574627	30.57	-92.32
5535845	33.72	-96.15
5537373	31	-88.23
5538457	32.48	-93.75
5535507	34.2	-88.93
5536210	25.68	-80.42
5541927	32.35	-95.3
5535852	32.58	-96.85
5541530	31.35	-88.85
5562706	35.77	-93.77
5548512	30.82	-89.67
5553867	45.47	-98.48
5570103	41.3	-111.97
5562699	34.93	-95.77
5542601	36.78	-89.38
5569308	33.5	-80.87
5560567	38.83	-77.52
5556981	35.88	-78.27
5554495	40.28	-96.82
5584105	35.43	-94.35
5550009	40.8	-81.7
5584104	35.38	-94.42
5559470	37.5	-92.93
5556980	35.78	-78.38
5558362	40.42	-86.22
5577886	46.88	-96.1
5559461	37.48	-93.28
5571801	33.88	-100.37
5577695	46.07	-96.9
5580780	36.17	-119.32
5558770	38.78	-84.37
5555353	27.18	-80.92
5554088	37.95	-86.18
5577715	46.97	-96.22
5563138	36.55	-95.7
5555031	41.2	-90.12
5558768	38.78	-84.88
5553876	37.98	-84.97
5580223	34.92	-77.95
5544820	39.83	-96.18
5555032	41.17	-90.05
5544260	41.08	-92.75
5553874	38.1	-85.73
5559471	37.5	-92.85
5577485	46.1	-96.4
5562215	42.73	-77.4
5558728	39.47	-101.02
5580779	37.13	-120.48
5558284	39.8	-104.4
5568411	42.7	-77.27
5558501	43.7	-88.62
5558502	43.93	-88.23
5581125	32.5	-92.12
5581514	30.43	-87.1
5581130	32.53	-92.78
5581978	35.05	-86.3
5581131	32.18	-93.82
5578422	36.33	-119.93
5581405	32.98	-85.97
5581497	33.05	-86.3
5580101	27.83	-82.3
5575574	38.28	-122.08
5572323	46.05	-123.98
5574296	34.62	-82.8
5574041	41.65	-74.7
5572099	32.77	-96.6
5580707	34.6	-102.38
5574714	34.37	-92.8
5564092	34.25	-87.18
5564093	33.62	-85.58
5564091	34.28	-87.28
5580584	40.45	-74.4
5576050	40.8	-75.53
5578416	37.33	-120.45
5581648	40.05	-78.52
5576262	38.95	-76.22
5551436	37.08	-94.52
5547121	36.5	-84.52
5564789	32.97	-95.13
5581081	35.5	-76.98
5571046	26.6	-81.97
5574042	41.65	-74.7
5574795	36.8	-94.25
5544089	36.22	-92.73
5544090	35.62	-94.03
5543482	35.93	-92.1
5543481	35.82	-92.35
5567533	43.48	-76.73
5568218	39.5	-76.98
5568219	39.43	-76.85
5543909	40.32	-89.35
5547416	37.35	-84.48
5574559	40.92	-78.92
5545020	38.58	-89.05
5545678	32.25	-91.22
5547409	37.57	-84.3
5547938	33.52	-86.82
5543898	39.72	-89.88
5542613	37.08	-88.63
5546750	32.55	-87.42
5547169	32.5	-86.22
5549645	39.62	-86.32
5543903	39.98	-88.57
5543904	40.07	-88.25
5543907	40.2	-90.15
5543901	39.82	-89.18
5541169	42.45	-87.83
5547166	32.9	-85.8
5547167	32.15	-86.75
5541765	29.78	-81.65
5580445	35.8	-75.62
5568058	39.33	-77.63
5572145	37.18	-85.92
5582707	46.32	-95.37
5543787	36.18	-81.65
5568323	36.5	-104.92
5546758	34.7	-85.8
5574764	42.75	-98.65
5557480	29.58	-82.15
5544864	35.43	-87.38
5573197	32.38	-83.17
5575125	30.93	-95.43
5570390	33.92	-79.92
5546532	32.33	-86.13
5543896	39.73	-90.2
5552293	31.53	-87.45
5572787	39.27	-76.52
5548009	36.38	-85.33
5546526	32.42	-87.23
5583522	37.9	-76.37
5543728	39.83	-88.95
5573192	34.47	-83.95
5567428	44.68	-89.42
5563814	34.2	-88.7
5574924	33.17	-94.5
5580439	35.55	-77.77
5584367	45.82	-95.48
5584368	45.93	-95.43
5584370	45.58	-94.63
5584371	45.6	-93.27
5564380	29.53	-99.53
5564573	29.17	-97.2
5568059	39.28	-77.6
5548863	36	-92
5552291	31.47	-87.9
5572098	32.77	-96.78
5574739	39.6	-80.9
5574740	39.52	-80.23
5547916	28.35	-80.72
5570410	37.67	-93.8
5574763	42.5	-99.4
5581665	29.73	-84.98
5546141	31	-84.83
5543805	31.23	-90.18
5552287	31.92	-87.73
5580438	35.22	-77.58
5559795	46.27	-100.23
5564086	41.15	-99.02
5543181	31.18	-83.87
5569224	32	-89.78
5567672	34.73	-112.45
5547425	37.08	-85.9
5543905	40.12	-87.95
5573629	39.33	-88.45
5547389	33.23	-82.38
5547408	37.45	-84.77
5574560	41.08	-79.32
5547242	38.38	-86.02
5574561	41.07	-79.22
5546979	32.15	-87.25
5605845	42.4	-73.42
5616248	27.78	-82.47
5609943	42.08	-77.93
5610028	43.02	-92.77
5605738	44.02	-83.68
5607601	42.83	-83.57
5607602	42.4	-83.25
5607603	42.77	-82.97
5611301	35.33	-100.45
5613597	41.42	-76.58
5609356	41.03	-98.6
5606132	39.1	-96.93
5612455	43.15	-89.4
5607598	43.18	-83.62
5606612	48.6	-118.05
5602088	33.85	-81.05
5603131	43.1	-94.72
5616239	28.03	-81.78
5616236	26.58	-81.87
5613944	42.87	-72.28
5606694	48.5	-101.7
5610851	41.53	-87.88
5620921	40.1	-85.68
5611761	29.9	-93.93
5615109	38.05	-83.77
5612453	43.18	-89.48
5613992	27.45	-81.3
5602092	34.47	-80.35
5602091	34.22	-80.57
5602089	33.97	-80.98
5589729	36.12	-86.03
5616318	26.6	-81.97
5606301	45.12	-89.47
5620789	40.05	-85.97
5610018	43.67	-91.55
5611662	32.65	-85.37
5614865	45.32	-91.17
5606609	48.17	-12.42
5606610	48.17	-12.42
5606611	48.6	-118.05
5613710	41.38	-76.48
5606390	44.93	-89.4
5599080	34.73	-86.62
5588904	30.67	-85.83
5588905	30.63	-85.72
5587213	35.37	-119
5591233	34.77	-85.73
5591228	31.57	-95.58
5587961	33.13	-87.57
5587852	33.22	-86.88
5591531	32.52	-89.57
5587201	36.32	-119.13
5589340	35.13	-94.02
5588192	33.3	-87.7
5611330	28.85	-82.05
5599097	34.77	-87
5600755	37.9	-97.67
5598750	43	-93.95
5598628	42.08	-86
5598629	42.27	-85.08
5589731	35.48	-86.63
5611326	28.55	-82.45
5588096	29.73	-90.13
5588195	32.55	-86.32
5611328	28.52	-82.43
5589735	35.78	-86.5
5603606	37.13	-87.27
5591435	34.33	-87.28
5587057	36.68	-85.15
5586491	31.28	-89.55
5603502	48.8	-96.03
5587053	36.98	-85.9
5599184	34.65	-86.5
5595086	34.07	-89.43
5608256	41.22	-103.32
5588911	30.65	-86.18
5608792	40.07	-104.95
5589716	33.77	-93.48
5600243	40.4	-88.83
5585138	32.37	-81.88
5601695	36.67	-87.43
5592710	34.47	-85.9
5588896	31.45	-85.33
5588906	30.55	-85.35
5588907	30.53	-85.28
5609806	26.98	-82.33
5610641	27.88	-81.77
5609628	27.37	-82.52
5602390	32.75	-100.4
5589726	35.87	-86.03
5589727	36.08	-86.03
5627071	26.07	-80.22
5614006	34.98	-97.48
5601865	30.85	-100.57
5609541	27.43	-82.7
5600756	38.72	-98.87
5619919	35.17	-95.88
5600640	33.83	-79.05
5592933	34.62	-92.35
5594423	37.85	-83.87
5594224	33.85	-79.93
5596086	40	-91.72
5595259	35.98	-90.83
5592923	35.07	-92.02
5600343	40.78	-89.98
5592927	34.52	-92.52
5595838	36.37	-85.33
5598510	33.48	-101.12
5595089	34.38	-89.03
5595091	35.83	-90.98
5590244	32.47	-84.95
5595590	35.4	-87.67
5611249	27.33	-82.48
5592930	35.38	-92.85
5609595	36.93	-100.88
5609805	27.98	-82.47
5598129	35.02	-86.27
5609045	27.8	-97.8
5608461	32.13	-99.3
5600760	38.02	-97.67
5611255	29.52	-82.9
5593918	34.8	-85.37
5598913	30.82	-97.62
5598914	30.55	-97.82
5598915	30.47	-97.93
5598918	30.37	-98.02
5623726	35.95	-89.67
5597223	37.37	-85.92
5595211	34.65	-84.92
5595212	34.88	-84.37
5592929	35.33	-92.95
5595085	34.1	-89.22
5600754	37.13	-97.5
5597470	31.42	-97.52
5597227	36.88	-85.72
5599096	34.72	-87.12
5608529	36.77	-83.7
5599183	34.87	-86.58
5605530	34.7	-87.55
5598433	26.92	-81.27
5598435	25.68	-80.52
5598735	42.3	-86.47
5611324	28.8	-82.57
5596926	35.05	-85.32
5596927	35.15	-84.9
5600140	40.5	-89.73
5600788	35.6	-91.37
5598369	34.18	-101.85
5623418	28.07	-81.67
5592921	34.15	-93
5600785	35.4	-91.63
5594857	33.18	-80.58
5595092	35.93	-90.9
5600341	40.63	-90.17
5600781	34.87	-91.98
5600786	35.43	-91.58
5597224	37.43	-85.78
5597226	37.18	-85.32
5592919	33.9	-93.33
5598515	33.75	-100.8
5623382	27.97	-81.75
5627054	31.2	-85.63
5627055	31.33	-85.6
5626150	39.98	-75.6
5620544	27.4	-82.57
5620719	30.48	-90.22
5620551	27.85	-81.98
5621782	32.22	-84.52
5617800	31.53	-82.43
5620707	30.22	-92.02
5620663	28.05	-82.38
5620549	27.48	-82.42
5627053	31.05	-85.85
5621502	40.4	-73.98
5622322	30.15	-85.18
5622325	30.18	-85.8
5620550	27.9	-82.03
5621855	32.23	-84.3
5622964	40.33	-79.32
5618248	38.3	-78.2
5620436	28.07	-82.23
5620435	28.02	-82.42
5617062	33.63	-96.57
5621455	30.72	-93.57
5616892	29.02	-80.93
5622332	30.45	-85.05
5617595	36.93	-119.58
5623148	30.85	-94.08
5623023	30.73	-88.58
5620721	30.5	-89.7
5622784	32.27	-100.85
5622594	30.3	-95.35
5619478	46.07	-94.05
5621285	27.78	-81.8
5620430	27.87	-82.85
5622602	29.98	-94.97
5621863	34.65	-78.05
5621764	38.07	-103.35
5622327	31.2	-85.63
5668053	36.13	-98.57
5673465	40.23	-87.8
5667406	32	-85.78
5667407	32.13	-86.5
5667346	31.23	-84.2
5669683	40.65	-73.68
5667723	35.48	-96.45
5668365	28.5	-82.38
5628378	30.38	-86.52
5671809	33.15	-98.67
5668999	40.62	-80.4
5634551	27.57	-81.52
5667280	31.12	-86.05
5628343	30.53	-95.67
5668442	28.97	-82.5
5671590	31.77	-84.77
5667889	30.48	-92.6
5667888	30.18	-92.5
5670768	25.08	-80.45
5667343	31.07	-83.77
5667344	31.17	-84.53
5627425	34.8	-82.6
5672223	28.42	-80.53
5671711	28.83	-95.65
5667410	32.07	-85.72
5678063	35.55	-96.77
5628959	30.15	-96.93
5678108	35.4	-96.72
5670161	30.68	-89.53
5673122	30.28	-85.87
5627083	33.78	-118.17
5675695	43.7	-85.48
5639378	32.17	-81.58
5649342	45.63	-94.57
5629129	30.35	-96.82
5660401	40.48	-75.9
5658368	39.67	-78.97
5630099	31.1	-95.97
5649784	37.88	-77.62
5648760	38.93	-89.6
5672042	29.82	-95.93
5650587	39.75	-79.08
5668878	40.47	-80.15
5647010	42.92	-73.77
5647011	42.92	-73.68
5672396	30.35	-97.37
5672397	30.35	-97.37
5665272	41.12	-112.08
5662833	41.28	-91.73
5662834	41.52	-91.5
5662835	41.62	-91.35
5634340	26.92	-82.32
5639753	33.88	-84.42
5639755	33.95	-84.33
5642876	35.72	-78.62
5643684	38.75	-90.58
5638761	44.28	-94.17
5638762	44.37	-93.83
5628960	30.2	-96.92
5638159	36.4	-79.98
5647668	33	-83.75
5644587	40.7	-97.58
5629745	34.23	-77.93
5638672	31.85	-81.73
5640942	31.47	-100.27
5666219	41.1	-91.05
5644589	40.98	-97.62
5647929	27.83	-81.5
5637599	33.88	-87.17
5637600	33.9	-87.1
5642865	35.17	-85
5647727	27.35	-82.17
5637201	33.38	-87.23
5642327	43.9	-91.15
5641541	38.65	-88.53
5641542	38.72	-88.38
5639363	33.83	-81.88
5652867	41.55	-94.05
5640232	27.23	-80.85
5641902	40.25	-75.65
5641116	35.22	-88.02
5659176	38.6	-82.1
5642013	36.03	-89.32
5637169	38.7	-99.33
5668604	28.1	-82.03
5636460	38.72	-90.43
5639869	34.95	-84.73
5634436	28.07	-82.47
5642126	35.82	-89.23
5655567	39.78	-85.97
5656233	42.75	-89.18
5643242	42.38	-79.43
5658360	29.5	-97.43
5641417	42.55	-90.4
5655940	33.85	-79.72
5641015	36	-87.33
5646777	41.47	-94.77
5646443	35.87	-81.38
5658397	39.57	-77.73
5658402	39.7	-77.73
5649662	40.58	-99.87
5643738	37.35	-89.05
5647501	34.9	-86.75
5643970	42.55	-97.13
5644086	35.03	-84.42
5644087	35.03	-84.33
5649322	44.6	-91.83
5649323	44.68	-91.78
5649061	44.88	-91.77
5641239	36.4	-86.93
5641461	39.67	-88.47
5649351	27.48	-81.65
5665436	40.12	-75.03
5638760	44.12	-94.9
5641460	39.65	-88.52
5640266	39.33	-80.42
5638158	36.32	-80.07
5667974	35.48	-97.53
5666669	30.43	-98.03
5637492	34.02	-86.4
5637493	34	-86.77
5637494	34	-86.75
5637495	33.92	-87.03
5670013	29.55	-90.35
5649181	27.35	-82.5
5641234	35.42	-87.07
5641235	36.53	-85.18
5638634	36.83	-86.08
5639379	32.18	-81.42
5639380	31.83	-81.78
5639381	33.35	-84.15
5633935	35.23	-77.62
5636650	33.02	-80.12
5639352	33.77	-82.47
5644949	36.62	-83.88
5642746	36.22	-78.82
5642005	35.87	-90.18
5664131	33.18	-80
5668987	40.13	-79.4
5663893	41.22	-111.48
5637343	32.15	-85.02
5637344	33.67	-88.18
5642799	36.62	-84.77
5663069	39.32	-78.05
5638894	34.48	-79.03
5638635	37	-85.7
5655575	40.4	-86.07
5644586	40.67	-97.57
5649352	27.55	-81.57
5665287	41.07	-111.97
5668929	43.05	-116.38
5641609	41.93	-103.97
5637200	33.42	-87.35
5639368	33.67	-82.07
5644983	35.1	-94.75
5637197	33.62	-86.48
5638950	34.58	-78.97
5637198	33.28	-87.9
5637199	33.3	-87.85
5637597	33.83	-87.45
5637598	33.87	-87.3
5641117	35.25	-87.58
5641118	35.42	-87.22
5641024	36.07	-86.92
5645426	43.75	-97.62
5646616	33.3	-87.85
5668231	31.63	-86.17
5663849	30.3	-83.1
5643310	34.1	-101.83
5668230	32.57	-86.18
5637496	33.93	-86.95
5639756	33.93	-84.23
5667973	35.55	-97.55
5670620	34.2	-101.7
5664052	32.35	-80.43
5646615	33.3	-87.9
5664049	32.75	-81.65
5634213	25.8	-80.28
5635025	31.03	-81.78
5647127	34.23	-77.93
5650816	42.53	-75.1
5634196	29.5	-95.1
5647349	41.1	-86.67
5656068	41.52	-82.95
5655241	40.68	-90.37
5665271	41.17	-112.02
5649557	41.3	-75.1
5669640	40.67	-79.67
5645838	37.38	-122.12
5641650	40.43	-88.75
5637588	33.58	-85.98
5652361	41.48	-97.3
5663799	42.32	-111.3
5665507	45.02	-87.33
5655240	40.88	-90.07
5637897	34.38	-85.98
5637899	34.15	-85.68
5664059	28.02	-82.12
5638039	26.13	-81.8
5637488	34	-86.27
5643834	38.42	-89.08
5637490	34.05	-86.07
5646496	33.28	-88.12
5644570	40.13	-97.48
5642801	37.3	-84.42
5642800	36.63	-84.75
5649785	37.88	-77.5
5645837	37.37	-122.03
5660178	33.63	-98.02
5639864	34.93	-85.33
5646336	36.68	-79.43
5645783	43.33	-93.47
5650744	42.08	-76.05
5634274	29.62	-95.63
5650705	29.72	-97
5647502	34.9	-86.43
5653391	48.28	-105.48
5648757	39.9	-91.42
5649675	40.02	-97.6
5639972	27.35	-82.28
5639973	27.75	-81.7
5650698	29.78	-97.57
5658548	39.5	-78.72
5658549	39.38	-79.05
5658551	39.33	-78.9
5630827	33.53	-81.08
5630829	33.38	-80.45
5652997	41.92	-94.08
5652998	41.87	-93.98
5670766	24.92	-80.63
5653180	43.43	-103.55
5649879	39.97	-98.82
5658352	30.5	-97.6
5638053	28.8	-82.07
5653609	48.4	-105.18
5639770	26.45	-82.13
5640073	27.58	-82.52
5648863	36.02	-80.38
5634109	26.32	-80.1
5658199	39.25	-78.1
5658196	39.27	-77.63
5647452	41.32	-86.02
5653474	43.47	-91.07
5646328	36.32	-79.27
5658134	43.43	-103.52
5652641	42.98	-93.43
5652642	42.98	-93.33
5652643	42.58	-92.93
5670770	25.87	-80.35
5660028	36.48	-82.02
5660029	36.43	-81.97
5639779	28.92	-82.58
5653124	42.05	-92.9
5652999	41.77	-93.8
5639974	27.9	-81.58
5643841	28.52	-81.63
5643842	28.7	-81.35
5643843	28.8	-81.15
5643839	29.17	-81.1
5655566	39.78	-85.95
5632286	43.98	-95.43
5637604	37.08	-120.35
5639875	28.48	-82.42
5657100	41.62	-76.05
5639883	27.85	-81.53
5652760	41.92	-95.5
5653475	42.85	-90.72
5667732	40.95	-99.6
5671729	31.97	-96.63
5673576	30.93	-90.48
5633551	34.53	-83.75
5670767	25.07	-80.47
5639965	27.17	-82.45
5636053	29.72	-95.05
5670550	38.95	-92.33
5641811	28.23	-81.48
5669819	38.78	-99.57
5636697	40.43	-75.88
5633213	33.2	-96.62
5629539	29.25	-98.8
5629540	29.22	-98.75
5643755	28.48	-80.55
5631696	39.47	-88.38
5641812	28.4	-81.27
5633550	34.38	-83.9
5635655	38.12	-77.6
5668706	39.8	-81.38
5668703	40.15	-81.82
5664631	31.92	-84.03
5667733	40.45	-99.57
5664634	31.95	-84.07
5690805	34.67	-79.13
5695179	32.38	-94.88
5684077	27.45	-81.27
5684580	35.13	-92.15
5684584	35.43	-91.73
5685308	39.95	-75.17
5705242	39.32	-89.67
5684311	30.35	-93.97
5685378	35.58	-88.88
5685650	34.63	-92.4
5684435	29.67	-91.33
5685659	35.05	-91.92
5683455	33.93	-86.65
5684321	30.08	-92.93
5684591	35.57	-91.55
5685646	35.5	-91.7
5685652	34.67	-92.2
5703799	39.37	-89.03
5685666	34.88	-91.1
5685670	35.9	-90.95
5704394	40.18	-89.42
5685485	35	-89.18
5685488	35.97	-88.67
5685709	35.53	-91.35
5717681	41	-72.52
5704798	40.95	-102.38
5704619	33.68	-101.25
5704623	33.58	-101.85
5695048	29.38	-96.78
5685658	35.02	-91.95
5685374	35.87	-89.43
5685647	35.53	-91.65
5684586	35.2	-91.95
5699304	40.58	-98.58
5684313	30	-94.45
5683324	34.9	-87.48
5689275	39.92	-75.02
5683874	28.6	-82.32
5692680	30.9	-93.9
5689894	32.58	-93.75
5689893	32.53	-93.83
5700783	44.87	-84.15
5687294	34.95	-77.95
5683516	37.68	-87.9
5694909	35.9	-91.43
5697090	41.6	-95.87
5699297	40.37	-99.27
5683870	30.18	-85.8
5697216	28.52	-82.4
5685677	36.53	-87.35
5697650	37.98	-93.93
5685581	34.95	-89.45
5685375	35.77	-89.12
5685376	35.42	-89.18
5688873	35.43	-95.82
5684593	34.28	-92.12
5683461	33.95	-86.08
5684070	27.05	-82.3
5685676	36.05	-88.17
5696947	28.02	-82.43
5696951	28	-82
5683323	34.1	-87.42
5690030	31.8	-89.22
5691929	39.88	-92.47
5691673	40.07	-95.02
5691928	39.7	-92.87
5695941	40.62	-95.12
5719542	47.07	-109.42
5712070	40.6	-82.12
5687296	35.05	-77.75
5687295	35	-77.62
5693766	38.5	-88.87
5707557	42.98	-92.58
5691927	39.48	-93.3
5718389	34.38	-80.18
5707366	44.48	-91.8
5695049	29.45	-97.05
5689856	41.23	-97.8
5717996	39.55	-74.25
5710733	36.48	-92.9
5693801	31.83	-95.85
5691674	40.15	-94.93
5690029	31.72	-89.4
5696639	35.72	-91.98
5691675	39.47	-93.4
5716742	40.4	-109.53
5683984	25.52	-80.43
5691775	39.78	-93.42
5689855	41.43	-98.07
5715002	27.68	-82.4
5720060	33.3	-97.82
5690343	26.88	-82.32
5685675	36.1	-87.7
5695390	39.38	-88.25
5684604	35.7	-91.22
5691930	38.9	-92.73
5685577	30.75	-95.53
5685579	30.85	-95.42
5692681	30.93	-93.85
5689895	31.97	-94
5696338	33.4	-94.73
5691106	31.83	-95.85
5700642	30.68	-99.1
5690093	37.32	-97.4
5705905	42.57	-92.88
5690169	37.48	-97.37
5712054	43.47	-93.62
5690546	34.47	-85.93
5699299	40.23	-98.97
5707355	44	-91.9
5691323	39.23	-84.37
5707393	41.1	-101.77
5705906	42.57	-92.82
5699306	40.83	-98.62
5716963	26.13	-80.13
5699415	40.85	-99.83
5706703	48.62	-102.08
5689850	40.87	-98.08
5714994	27.52	-82.53
5707788	48.23	-101.4
5699172	42.63	-93.48
5689865	41.18	-98.47
5694183	33.7	-85.17
5699310	41.08	-98.32
5699407	39.38	-98.63
5721139	36.22	-76.17
5698387	39.02	-92.45
5721942	37.02	-76.35
5712055	43.4	-93.52
5690808	34.72	-78.78
5696747	36.38	-86.47
5721762	40.1	-75.92
5709343	43.05	-102.85
5707020	40.73	-101.78
5707128	41.38	-100.2
5720567	32.63	-90.35
5692409	37.18	-77.48
5695175	33.83	-95.05
5699301	40.57	-98.75
5699295	40.37	-99.85
5696336	33.2	-95.13
5698713	39.38	-99.35
5716959	26.08	-80.2
5721218	35.82	-97.52
5700776	35.97	-95.25
5722803	39.6	-82.98
5699302	40.6	-98.7
